treatment,mediator_label,conspiracy_group,estimate,lower,upper
Election,Undemocraticness,Low conspiracy (Mean - 1 SD),-0.4430445249086541,-0.6075487437096032,-0.3148655007825102
Court,Undemocraticness,Low conspiracy (Mean - 1 SD),-0.4463698853558214,-0.5933568340091819,-0.30113130711643954
Election,Negative emotion,Low conspiracy (Mean - 1 SD),-0.2706524381568865,-0.40347993977314306,-0.16564390616001362
Court,Negative emotion,Low conspiracy (Mean - 1 SD),-0.23422235253088539,-0.33160761415784723,-0.12832811827375076
Election,Enthusiasm,Low conspiracy (Mean - 1 SD),-0.08047849013110435,-0.16821206055547303,0.013260670414621372
Court,Enthusiasm,Low conspiracy (Mean - 1 SD),-0.045407892638853385,-0.13479491758548554,0.0550747690341971
Election,Trustworthiness,Low conspiracy (Mean - 1 SD),-0.4140634003811572,-0.5427861589118306,-0.2897591206829317
Court,Trustworthiness,Low conspiracy (Mean - 1 SD),-0.3342189676930758,-0.47176894636241296,-0.20330874425714754
Election,Competence,Low conspiracy (Mean - 1 SD),-0.28516265940825064,-0.4168849814404457,-0.16541082984101363
Court,Competence,Low conspiracy (Mean - 1 SD),-0.22996011704547642,-0.3503410109785022,-0.10738254710619607
Election,Sincerity,Low conspiracy (Mean - 1 SD),-0.25156929406098405,-0.3872739177149547,-0.13187401072426852
Court,Sincerity,Low conspiracy (Mean - 1 SD),-0.10888952601984112,-0.23355775232628867,0.028408659497507396
Election,Undemocraticness,High conspiracy (Mean + 1 SD),-0.1298615541628072,-0.2624824108707109,-0.005644192363447662
Court,Undemocraticness,High conspiracy (Mean + 1 SD),-0.10946079828471975,-0.26517054776871274,0.03801857394776806
Election,Negative emotion,High conspiracy (Mean + 1 SD),-0.11380192039670528,-0.20282082493938458,-0.04256016756431444
Court,Negative emotion,High conspiracy (Mean + 1 SD),-0.12666095639690214,-0.2178659827103236,-0.05105044266417068
Election,Enthusiasm,High conspiracy (Mean + 1 SD),0.17755035578320216,0.05045213577354969,0.29859679032047104
Court,Enthusiasm,High conspiracy (Mean + 1 SD),0.18563631499293692,0.059935620351046485,0.3346786084623081
Election,Trustworthiness,High conspiracy (Mean + 1 SD),-0.01327063747790715,-0.17526969919716814,0.14690815386621203
Court,Trustworthiness,High conspiracy (Mean + 1 SD),-0.004535753366834743,-0.18154200957127054,0.16177173875033465
Election,Competence,High conspiracy (Mean + 1 SD),-0.15015316672157103,-0.30420422973435335,-0.0016406519951146132
Court,Competence,High conspiracy (Mean + 1 SD),-0.09468291079509564,-0.263848249775459,0.07374889917849176
Election,Sincerity,High conspiracy (Mean + 1 SD),-0.07738877471418291,-0.21141041622887452,0.057944362471705604
Court,Sincerity,High conspiracy (Mean + 1 SD),-0.029454029771619594,-0.16597421610032698,0.11184581014567961
