contrast,conspiracy_full,estimate,SE,df,lower.CL,upper.CL,conspiracy_group,treatment,coefficient_label,treatment_y,group_offset,plot_y,label_y
Election - Control,-0.9036396962317306,-0.495242904323705,0.09817979252524665,2005,-0.7270712430137545,-0.2634145656336555,Low conspiracy (Mean - 1 SD),Election denial,-0.50,3,-0.23,2.77,2.88
Protests - Control,-0.9036396962317306,-0.08619499370494124,0.09799722038221637,2005,-0.31759223149814464,0.14520224408826218,Low conspiracy (Mean - 1 SD),Protest restriction,-0.09,2,-0.23,1.77,1.8800000000000001
Court - Control,-0.9036396962317306,-0.5832495804384531,0.09975677570938661,2005,-0.8188015916105696,-0.34769756926633655,Low conspiracy (Mean - 1 SD),Judicial attack,-0.58,1,-0.23,0.77,0.88
Election - Control,1.2478633791124968e-16,-0.38615770585453757,0.06920251073365277,2005,-0.5495630531660793,-0.22275235854299583,Mean conspiracy,Election denial,-0.39,3,0,3,3.11
Protests - Control,1.2478633791124968e-16,-0.06011270792456437,0.06928503849361456,2005,-0.2237129250050846,0.10348750915595588,Mean conspiracy,Protest restriction,-0.06,2,0,2,2.11
Court - Control,1.2478633791124968e-16,-0.4142463487780249,0.0692812575068476,2005,-0.5778376379533393,-0.2506550596027105,Mean conspiracy,Judicial attack,-0.41,1,0,1,1.11
Election - Control,0.9036396962317308,-0.27707250738537015,0.09792175786424172,2005,-0.5082915583060466,-0.04585345646469377,High conspiracy (Mean + 1 SD),Election denial,-0.28,3,0.23,3.23,3.34
Protests - Control,0.9036396962317308,-0.034030422144187514,0.0990081016275741,2005,-0.2678146167000461,0.19975377241167103,High conspiracy (Mean + 1 SD),Protest restriction,-0.03,2,0.23,2.23,2.34
Court - Control,0.9036396962317308,-0.2452431171175967,0.09820555440005682,2005,-0.477132286376597,-0.013353947858596393,High conspiracy (Mean + 1 SD),Judicial attack,-0.25,1,0.23,1.23,1.34
